partno,x,y,z,u,v,w,ph,aspr,fnd,lrl,tngr,u,kn,do,it
1,-3.1362,2.6218,1.0253,-0.036154,-1.2591,-0.16768,-0.31126,-0.36517,0.45155,-1.8504,-1.5213,-2.1858,-2.6047,-1.7144,-1.467
2,-3.5785,4.3465,0.62115,-0.48099,-1.1927,-1.4133,-3.503,0.43977,0.37904,-0.075038,-0.4092,-1.1925,-3.102,-3.0148,-3.3471
3,-2.8148,1.8655,2.357,-2.1477,-0.84119,-2.2781,-1.569,0.44086,0.22217,-0.086038,-1.6783,-0.1712,-1.1331,-4.5793,-4.3218
4,-4.7696,0.67326,1.2852,-1.4889,-1.5861,0.45114,-1.4724,-1.5931,-1.8965,-1.2537,-1.5048,-1.4697,-3.3376,-1.5397,-2.8819
5,-4.4052,-0.17434,4.1794,-0.91636,-2.2052,1.5243,-1.2007,-0.044776,-1.1196,-1.873,-0.53885,-0.98242,-1.7012,-0.76108,-2.349
6,-5.2515,-0.24288,4.9123,0.4075,-0.38582,-2.3382,0.2399,-0.37232,-1.2783,0.71642,-1.3522,-4.9522,-3.5033,-2.9337,-3.7922
7,-2.9662,-0.97698,3.257,0.36563,-1.4375,-0.98923,-1.5225,-1.2109,-1.4132,-1.9581,-2.0643,-0.39771,-1.0228,-4.0484,-2.0901
8,-3.0514,-1.5414,4.1636,-1.1196,-0.66254,-0.035521,-0.12885,-1.064,-2.7947,-0.9828,-0.73156,-0.88481,-1.442,-2.5441,-3.2617
9,0.10513,-2.8857,3.8345,-1.078,-0.58015,-0.96357,-1.8999,0.17831,-0.029012,-0.37943,-2.4974,-1.1724,-0.81748,-0.32052,-3.9037
10,-1.1666,-3.8958,4.1286,-0.63725,-1.24,-2.4527,-2.0718,-0.92174,-1.7458,0.61017,-2.3518,-0.85957,-0.9361,-1.8767,-2.4193
11,-1.1584,-3.1684,4.7805,-0.33339,-0.34624,-0.41235,0.17346,-0.64732,-1.9893,-0.035645,-2.0697,-0.34399,-3.3121,-0.78925,-3.2433
12,0.43499,-4.8679,3.3026,-2.23,-1.7238,0.98179,-1.8398,-1.0162,-1.4214,-1.3687,-1.6244,-0.065382,-1.7878,-0.39883,-3.9736
13,0.63708,-5.4913,2.287,-2.0785,-2.4195,-1.0476,-2.684,-1.2176,-2.0388,-2.2434,-1.2165,-0.94224,-2.4934,-3.5286,-2.8125
14,1.4305,-6.8255,2.4752,-0.38606,-2.4173,1.3202,-1.0276,-1.7948,-2.4263,-0.31369,-3.2307,-1.7287,-1.9787,-2.5737,-2.3484
15,1.4865,-4.7551,0.55823,-3.0468,-2.5861,-1.729,-0.79964,-0.12058,-2.2407,0.73245,-0.66899,-1.4401,1.4367,-2.5274,-1.5845
16,2.6348,-5.9041,1.4304,-1.8955,-0.59841,1.2547,-0.24231,0.045583,-1.6646,-0.33844,0.076799,-1.7319,-2.1223,-2.6313,-2.9962
17,2.9032,-3.0711,-1.1615,-1.5978,0.9757,-1.5398,-1.2209,-0.24731,-3.2107,-1.5963,-3.1182,-3.9431,0.22055,-2.9195,-1.7599
18,3.3339,-4.0509,-2.0408,-0.43708,-1.823,0.52404,0.30126,-0.42666,-0.92288,-1.8092,-1.2631,-1.4144,-0.31488,-3.1587,-0.60338
19,3.4311,-1.8601,-1.2214,0.25684,-1.5595,-1.5927,-1.815,0.74379,-1.6807,-1.0383,-1.7618,-0.25685,-2.0921,-1.9036,-4.9436
20,2.6872,-2.5337,-3.873,-1.6117,-1.1086,-1.1717,-0.24621,1.1037,-3.0866,1.1567,-0.56907,-1.2045,-0.3613,-1.9775,-3.6596
21,4.278,1.6568,-4.4402,-1.8539,0.44959,-0.70653,-2.2707,0.90287,-1.7107,-1.3933,-2.4397,-1.8,-1.0103,-3.3852,-2.1787
22,3.8101,-0.52765,-3.6153,-2.5077,0.006683,-1.8062,-0.10245,0.099409,-1.9714,-2.0792,-0.5305,-1.1524,-0.27454,-2.2257,-4.4319
23,4.0254,0.92793,-3.149,-1.5773,-0.078999,0.15033,0.10343,0.16458,-1.6022,-0.4554,-1.5615,-2.0448,-1.4032,-3.3008,-4.5614
